iter	RMSE
0	26.47790203
1	26.47699391
2	26.4761587
3	26.47548154
4	26.47485076
5	26.47415864
6	26.47349985
7	26.47282395
8	26.47233818
9	26.47178435
10	26.47137688
11	26.47085252
12	26.47029878
13	26.46958124
14	26.46894925
15	26.46852801
16	26.46783766
17	26.46729297
18	26.46673888
19	26.4662082
20	26.46566689
21	26.4651108
22	26.4644537
23	26.46416536
24	26.46366952
25	26.46334151
26	26.46300768
27	26.46248581
28	26.46203945
29	26.46160526
30	26.46132452
31	26.46091454
32	26.46057487
33	26.46021991
34	26.4597112
35	26.45934368
36	26.45893095
37	26.45851113
38	26.45801637
39	26.45752893
40	26.45719181
41	26.45678393
42	26.45633788
43	26.45603222
44	26.45553617
45	26.45515026
46	26.45480431
47	26.45439985
48	26.45410949
49	26.45380951
50	26.45346501
51	26.45308211
52	26.45266265
53	26.45228003
54	26.4517223
55	26.45138688
56	26.45092138
57	26.45047334
58	26.45021297
59	26.44992931
60	26.4495408
61	26.44929818
62	26.4489258
63	26.44855848
64	26.4480953
65	26.44773295
66	26.44736806
67	26.44700446
68	26.44656815
69	26.44614546
70	26.44576669
71	26.44542574
72	26.44497549
73	26.44444587
74	26.44408079
75	26.4438667
76	26.44347598
77	26.44311073
78	26.44266653
79	26.44234528
80	26.44198777
81	26.4415481
82	26.44125469
83	26.44082876
84	26.44042583
85	26.44014745
86	26.43985927
87	26.43942298
88	26.43904463
89	26.43871231
90	26.43833447
91	26.43800578
92	26.43767387
93	26.43710746
94	26.43675003
95	26.43645373
96	26.43620324
97	26.43588507
98	26.435535
99	26.4352377
100	26.43481223
101	26.43448617
102	26.43420668
103	26.43378848
104	26.43332641
105	26.4330979
106	26.43272826
107	26.43236045
108	26.43203758
109	26.43166869
110	26.43126734
111	26.43097099
112	26.43064428
113	26.43027697
114	26.42994833
115	26.42958864
116	26.42918966
117	26.42887601
118	26.42853615
119	26.42811059
120	26.4278528
121	26.42752885
122	26.42719636
123	26.4269263
124	26.42658426
125	26.42624915
126	26.42592369
127	26.425666
128	26.42533157
129	26.4249151
130	26.42462055
131	26.42446627
132	26.42408419
133	26.42379929
134	26.42344582
135	26.4231244
136	26.42280038
137	26.4224879
138	26.42209034
139	26.42177828
140	26.42142556
141	26.42119418
142	26.42076089
143	26.42047389
144	26.42018595
145	26.41978775
146	26.41957166
147	26.41907623
148	26.41879244
149	26.41838809
150	26.41816556
151	26.41786479
152	26.41757214
153	26.41718481
154	26.4169373
155	26.41663149
156	26.41625419
157	26.41594767
158	26.41561158
159	26.41534366
160	26.41496972
161	26.4146533
162	26.41441525
163	26.41408431
164	26.41384596
165	26.41363467
166	26.413345
167	26.41294436
168	26.41251568
169	26.41221711
170	26.41171462
171	26.41131497
172	26.41109133
173	26.41068594
174	26.41035767
175	26.41001672
176	26.40969701
177	26.40937879
178	26.4091488
179	26.40882324
180	26.40845875
181	26.40814101
182	26.4078204
183	26.40733676
184	26.40707302
185	26.40683487
186	26.40659182
187	26.4064029
188	26.40609864
189	26.40577684
190	26.4054466
191	26.40496269
192	26.40462314
193	26.40439197
194	26.40409538
195	26.40382317
196	26.40349883
197	26.40326674
198	26.40293014
199	26.40268648
200	26.40239456
201	26.40208389
202	26.40174736
203	26.40152962
204	26.40134475
205	26.40110531
206	26.40085326
207	26.40060509
208	26.40014116
209	26.39979298
210	26.39945652
211	26.3991925
212	26.39892428
213	26.39844899
214	26.39812673
215	26.39782802
216	26.39757012
217	26.39731161
218	26.39701351
219	26.39677673
220	26.39641849
221	26.39601892
222	26.3957434
223	26.39543791
224	26.39512616
225	26.39486932
226	26.39456003
227	26.39417765
228	26.39384836
229	26.39365059
230	26.39334137
231	26.39306909
232	26.39278093
233	26.3924739
234	26.39211969
235	26.39158644
236	26.39129881
237	26.39085826
238	26.39061322
239	26.39025566
240	26.39002008
241	26.38986752
242	26.3895777
243	26.38923956
244	26.38880707
245	26.38858004
246	26.38833402
247	26.38805316
248	26.38771563
249	26.38731604
250	26.38706821
251	26.3867849
252	26.3864784
253	26.38627913
254	26.38600486
255	26.38576707
256	26.38540685
257	26.38504847
258	26.38481363
259	26.38447383
260	26.38428298
261	26.38401755
262	26.38375992
263	26.38353737
264	26.3831993
265	26.382906
266	26.38242874
267	26.38217156
268	26.3817923
269	26.38144925
270	26.38108748
271	26.38084052
272	26.38052408
273	26.3801819
274	26.37976771
275	26.37952234
276	26.37919113
277	26.37879141
278	26.378477
279	26.37823519
280	26.37790884
281	26.37754806
282	26.37722809
283	26.37693086
284	26.3765763
285	26.37627834
286	26.37586101
287	26.37556765
288	26.37531213
289	26.37512908
290	26.37494727
291	26.37459602
292	26.37437787
293	26.37405544
294	26.37383305
295	26.37356563
296	26.37321962
297	26.37290387
298	26.3726209
299	26.37233671
300	26.37202759
301	26.37169167
302	26.37127812
303	26.37092237
304	26.37067093
305	26.3703176
306	26.37001052
307	26.36978075
308	26.36946923
309	26.36927163
310	26.36895699
311	26.36875476
312	26.3684123
313	26.36807739
314	26.3678246
315	26.36752768
316	26.3671404
317	26.36668981
318	26.36637502
319	26.36612894
320	26.36580098
321	26.36559036
322	26.36516261
323	26.36482914
324	26.3645658
325	26.36422044
326	26.363898
327	26.36359699
328	26.36333121
329	26.36301526
330	26.3626767
331	26.36243166
332	26.36218722
333	26.36181236
334	26.36150468
335	26.36114821
336	26.36089018
337	26.36057262
338	26.36037711
339	26.36018061
340	26.35984122
341	26.35949027
342	26.35930275
343	26.35907198
344	26.35863478
345	26.35832592
346	26.35808351
347	26.35763079
348	26.35733225
349	26.35699849
350	26.3566311
351	26.35631172
352	26.35605646
353	26.35576251
354	26.35546171
355	26.35521666
356	26.35480377
357	26.35442277
358	26.35409528
359	26.35375547
360	26.35350008
361	26.35317208
362	26.35297363
363	26.3525839
364	26.35229098
365	26.35201279
366	26.35172154
367	26.35135816
368	26.35114624
369	26.35072305
370	26.35037395
371	26.35003367
372	26.34976979
373	26.34954892
374	26.34929275
375	26.3490432
376	26.34873215
377	26.34851263
378	26.34815375
379	26.34792124
380	26.34756314
381	26.34738572
382	26.34707931
383	26.34676024
384	26.34640422
385	26.34609383
386	26.34580568
387	26.34564053
388	26.34543415
389	26.34510353
390	26.34471661
391	26.3442655
392	26.34398438
393	26.34367575
394	26.34342398
395	26.34307669
396	26.34282905
397	26.34257568
398	26.34229162
399	26.34188029
400	26.34164013
401	26.3413907
402	26.34112583
403	26.34074773
404	26.34042396
405	26.34016953
406	26.33983185
407	26.33950472
408	26.33926954
409	26.33898913
410	26.3385683
411	26.33824353
412	26.33789025
413	26.33757624
414	26.3371329
415	26.3368259
416	26.33654277
417	26.33629435
418	26.33590122
419	26.33568279
420	26.33524756
421	26.33503102
422	26.33479933
423	26.33458302
424	26.33427146
425	26.33403881
426	26.3337633
427	26.33348137
428	26.33325368
429	26.33296992
430	26.33261639
431	26.33214124
432	26.33185506
433	26.33150822
434	26.33125225
435	26.33101109
436	26.33078076
437	26.33049642
438	26.33017824
439	26.32985609
440	26.32953759
441	26.32925788
442	26.32899795
443	26.3286508
444	26.32836716
445	26.32809397
446	26.32782869
447	26.32746693
448	26.32726316
449	26.32690404
450	26.32657915
451	26.32632324
452	26.32608461
453	26.32579711
454	26.3254934
455	26.32515505
456	26.32482604
457	26.32447605
458	26.32417876
459	26.32380093
460	26.32350432
461	26.32330249
462	26.32303662
463	26.32268858
464	26.32228575
465	26.32202183
466	26.3216225
467	26.32130827
468	26.32100041
469	26.32067502
470	26.32036114
471	26.31994368
472	26.31969212
473	26.31931635
474	26.3188712
475	26.3185295
