iter	Passed	Remaining
0	27	110049
1	54	108526
2	81	108254
3	104	103970
4	128	102476
5	152	101407
6	176	100818
7	200	99878
8	221	98010
9	242	96566
10	264	95918
11	292	97046
12	313	96053
13	334	95367
14	359	95413
15	381	94882
16	404	94722
17	425	94226
18	448	93988
19	471	93922
20	496	94132
21	522	94403
22	546	94576
23	568	94254
24	590	93851
25	612	93677
26	636	93642
27	659	93538
28	681	93289
29	703	93073
30	727	93156
31	752	93260
32	774	93084
33	797	93029
34	822	93233
35	847	93372
36	873	93543
37	896	93520
38	919	93377
39	941	93209
40	969	93576
41	993	93603
42	1017	93601
43	1041	93682
44	1067	93805
45	1092	93893
46	1116	93865
47	1139	93778
48	1163	93810
49	1189	93997
50	1214	94007
51	1239	94080
52	1265	94260
53	1292	94451
54	1320	94746
55	1344	94703
56	1368	94692
57	1394	94755
58	1418	94726
59	1441	94656
60	1466	94723
61	1489	94601
62	1513	94579
63	1541	94780
64	1567	94890
65	1590	94828
66	1614	94794
67	1639	94803
68	1666	94951
69	1693	95075
70	1721	95245
71	1764	96263
72	1796	96635
73	1826	96910
74	1856	97149
75	1883	97264
76	1907	97184
77	1929	97034
78	1951	96861
79	1974	96738
80	1996	96578
81	2021	96593
82	2045	96536
83	2068	96422
84	2093	96420
85	2116	96321
86	2141	96333
87	2167	96338
88	2196	96542
89	2225	96686
90	2256	96912
91	2283	96997
92	2310	97070
93	2338	97163
94	2359	96994
95	2384	96957
96	2406	96836
97	2428	96689
98	2451	96617
99	2475	96547
100	2505	96739
101	2533	96804
102	2560	96886
103	2589	97009
104	2616	97074
105	2644	97141
106	2670	97161
107	2695	97124
108	2721	97164
109	2743	97002
110	2766	96928
111	2788	96790
112	2811	96713
113	2839	96775
114	2867	96858
115	2895	96959
116	2919	96882
117	2944	96875
118	2968	96799
119	2992	96743
120	3016	96693
121	3040	96646
122	3065	96610
123	3088	96525
124	3110	96430
125	3135	96411
126	3158	96319
127	3184	96319
128	3206	96205
129	3227	96093
130	3251	96021
131	3273	95934
132	3297	95872
133	3320	95807
134	3341	95679
135	3370	95770
136	3396	95775
137	3423	95815
138	3451	95871
139	3479	95923
140	3506	95964
141	3531	95954
142	3555	95886
143	3579	95850
144	3604	95833
145	3631	95874
146	3656	95835
147	3677	95725
148	3703	95706
149	3725	95613
150	3746	95506
151	3769	95437
152	3797	95477
153	3823	95497
154	3847	95454
155	3871	95409
156	3897	95395
157	3922	95375
158	3947	95361
159	3972	95341
160	3997	95313
161	4022	95294
162	4045	95237
163	4067	95150
164	4091	95087
165	4117	95089
166	4140	95033
167	4166	95032
168	4190	94987
169	4215	94977
170	4239	94929
171	4266	94964
172	4290	94909
173	4313	94837
174	4336	94791
175	4359	94729
176	4383	94680
177	4405	94600
178	4430	94574
179	4452	94487
180	4475	94425
181	4498	94368
182	4519	94275
183	4546	94282
184	4572	94294
185	4596	94263
186	4621	94227
187	4646	94218
188	4672	94216
189	4700	94255
190	4728	94303
191	4755	94314
192	4782	94336
193	4811	94386
194	4839	94432
195	4864	94411
196	4890	94410
197	4919	94465
198	4944	94434
199	4970	94430
200	4996	94429
201	5022	94431
202	5048	94431
203	5075	94444
204	5099	94401
205	5129	94477
206	5158	94517
207	5188	94584
208	5217	94630
209	5241	94593
210	5266	94569
211	5290	94537
212	5314	94489
213	5343	94532
214	5371	94570
215	5396	94543
216	5423	94548
217	5457	94686
218	5485	94699
219	5508	94643
220	5534	94631
221	5558	94591
222	5581	94530
223	5605	94488
224	5630	94462
225	5654	94421
226	5681	94436
227	5705	94386
228	5729	94344
229	5754	94322
230	5779	94292
231	5806	94298
232	5829	94247
233	5853	94205
234	5880	94206
235	5902	94142
236	5926	94096
237	5951	94067
238	5979	94098
239	6007	94118
240	6033	94100
241	6058	94081
242	6085	94088
243	6109	94050
244	6135	94034
245	6162	94037
246	6185	93984
247	6208	93927
248	6233	93905
249	6254	93814
250	6279	93796
251	6305	93776
252	6329	93742
253	6355	93728
254	6378	93676
255	6401	93627
256	6424	93563
257	6447	93507
258	6469	93444
259	6493	93411
260	6515	93344
261	6537	93278
262	6559	93210
263	6581	93142
264	6603	93072
265	6626	93020
266	6649	92961
267	6672	92917
268	6695	92868
269	6716	92793
270	6740	92744
271	6763	92695
272	6787	92665
273	6808	92589
274	6830	92524
275	6850	92437
276	6872	92363
277	6894	92303
278	6914	92217
279	6933	92113
280	6954	92045
281	6975	91966
282	6998	91922
283	7021	91870
284	7041	91789
285	7064	91734
286	7085	91672
287	7105	91584
288	7126	91512
289	7150	91471
290	7171	91405
291	7194	91355
292	7214	91275
293	7234	91200
294	7255	91128
295	7280	91104
296	7303	91054
297	7323	90975
